author,added,deleted,commits
0xFango,1,1,1
ALİ DENİZ TARTMA,3,3,1
Abdulwahab Omira,26,0,1
Alex Hunt,28,0,1
Alex Yang,65,1,1
Alexander Kachkaev,1,1,1
Anatole-Godard,0,12,1
Andrew Clark,790,87,8
Anton Chesnokov,53,1,1
Azat S.,265,1,1
BIKI DAS,293,11,1
Benjamin,68,3,1
Bodhi Russell Silberling,5,5,3
Bramus,1,1,1
Brendan Abbott,2,2,1
Błażej Kustra,313,74,2
Christian Van,7,1,1
Christoph Pojer,5,5,1
Cody Olsen,19,1,2
Damian Stasik,1,1,1
Damjan Petrovic,6,0,1
David Michael Gregg,1,1,1
Dawid Małecki,48,40,3
Dennis Kats,39,0,1
Devon Govett,727,629,3
Dhruv,2,2,1
Dimitri POSTOLOV,169,17,2
Dmitrii,72,0,2
Dmytro Rykun,19,2,1
Eli White,1,1,1
Eliot Pontarelli,603,22,1
Eugene Choi,2512,1694,20
Facebook Community Bot,3,6,2
Felipe Cardozo,1,1,1
François Best,10,1,1
Hanno J. Gödecke,51,19,1
Hendrik Liebau,11390,2033,44
Henry Q. Dineen,195,32,2
Hiroshi Ogawa,81,6,1
Ian Duvall,31,1,1
Jack Pope,12896,4437,53
James Friend,212,71,2
Jan Kassens,18387,2563,37
Jan Olaf Martin,93,22,1
Janka Uryga,369,3,2
Jason Zhang,3,4,1
Jenny Steele,8,2,1
Jeremy JIANG,3,1,1
Jimmy Lai,3,3,1
Joe Savona,2528,224281,9
Jon Jensen,24,66,1
Jordan Brown,2138,679,17
Jordan Eldredge,11,23,1
Jorge (Hezi) Cohen,9,0,1
Jorge Cabiedes,7655,4535,20
Joseph Savona,63428,35968,155
Josh Goldberg ✨,24,0,1
Josh Story,5195,687,22
João Eirinha,44,1,1
Karl Horky,23,11,3
Keith Cirkel,34,0,1
Kid,72,2,1
KimCookieYa,32,1,1
Kotha Dhakshin,165,1,1
Kyℓe Hensel,1,0,1
LoganDark,19,1,1
MU AOHUA,8,0,1
Mateusz Burzyński,398,30,1
Mathias Stang,12,0,1
Matt Carroll,81,21,6
Michael H,65,4,1
Miguel Jiménez Esún,148,54,1
Mohhamad Hussain,1,1,1
Mushaheed Kapadia,141,16,2
Nathan,1875,1017,5
Nick Gerleman,2,0,1
Nick Lefever,19,6,1
Niklas Holm,1,1,1
Niklas Mollenhauer,385,10,2
Orta Therox,32,1,1
Pavan Shinde,3,3,1
Pieter De Baets,178,1235,5
Piotr Tomczewski,327,59,1
Rahul salunke,4,4,1
Rick Hanlon,13873,13768,69
Rodrigo Faria,176,7,1
Rubén Norte,1252,5545,11
Ruslan Lesiutin,5134,3082,78
Sam Zhou,13,5,2
Samuel Susla,25,0,1
"Sebastian ""Sebbie"" Silbermann",33696,8918,232
Sebastian Markbåge,82532,29481,435
Smruti Ranjan Badatya,1,1,1
Sophie Alpert,69,72,3
Stephen Zhou,1,1,1
Stian Jensen,140,260,1
Szymon Chmal,8,3,2
Tim Neutkens,49,19,1
Timothy Lau,54,45,1
Timothy Yung,33,6,2
Tyler Scott Williams,5,1,1
Wesley LeMahieu,6,5,2
Wick,1,5,1
Xinzi Zhou,1733,23,1
YongSeok Jang (장용석),124,3,1
Yukimasa Funaoka,390,54,1
Zeya Peng,446,34,5
chirokas,38,0,1
dan,99,320,4
dependabot[bot],46,22,4
emily8rown,873,111,3
fre$h,18,9,1
inottn,66,2,2
lauren,19927,10876,219
michael faith,9297,2698,16
mofeiZ,19041,5685,64
o-m12a,7,7,1
petertdinh,17,0,1
vmx906,56,0,2
zeki,81,0,1
zxuhan7,14,2,1
藍+85CD,1,1,1
