entity,coupled,degree,average-revs
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientNode.js,100,11
packages/react-devtools-extensions/chrome/manifest.json,packages/react-devtools-extensions/edge/manifest.json,100,11
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,100,9
packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,100,9
packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,100,9
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientEdge.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientEdge.js,100,9
packages/react-devtools-timeline/package.json,packages/react-devtools/CHANGELOG.md,100,8
packages/react-devtools-core/package.json,packages/react-devtools-timeline/package.json,100,8
packages/react-devtools-core/package.json,packages/react-devtools/CHANGELOG.md,100,8
packages/react-server-dom-parcel/src/server/ReactFlightDOMServerBrowser.js,packages/react-server-dom-parcel/src/server/ReactFlightDOMServerEdge.js,100,5
packages/react-server-dom-turbopack/src/ReactFlightTurbopackReferences.js,packages/react-server-dom-webpack/src/ReactFlightWebpackReferences.js,100,5
scripts/rollup/validate/eslintrc.cjs.js,scripts/rollup/validate/eslintrc.cjs2015.js,100,5
scripts/rollup/validate/eslintrc.cjs.js,scripts/rollup/validate/eslintrc.esm.js,100,5
scripts/rollup/validate/eslintrc.cjs2015.js,scripts/rollup/validate/eslintrc.esm.js,100,5
packages/react-dom-bindings/src/server/fizz-instruction-set/ReactDOMFizzInstructionSetInlineCodeStrings.js,packages/react-dom-bindings/src/server/fizz-instruction-set/ReactDOMFizzInstructionSetShared.js,97,20
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientNode.js,95,12
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientNode.js,95,12
packages/react-server-dom-esm/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientNode.js,95,11
packages/react-server-dom-esm/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientNode.js,95,11
packages/shared/forks/ReactFeatureFlags.native-oss.js,packages/shared/forks/ReactFeatureFlags.test-renderer.js,94,56
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,94,10
packages/react-server-dom-esm/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientEdge.js,94,10
