entity,added,deleted,commits
fixtures/view-transition/yarn.lock,15300,5454,3
fixtures/owner-stacks/yarn.lock,9688,0,1
compiler/yarn.lock,7271,3617,23
packages/react-server/src/__tests__/ReactFlightAsyncDebugInfo-test.js,7248,3576,32
packages/react-devtools-shared/src/backend/fiber/renderer.js,4315,1995,103
flow-typed/environments/node.js,4289,3,2
packages/react-dom-bindings/src/client/ReactFiberConfigDOM.js,3879,848,97
flow-typed/environments/dom.js,3681,3,3
packages/react-server/src/ReactFlightServer.js,3600,1559,91
compiler/packages/babel-plugin-react-compiler/src/Inference/InferMutationAliasingEffects.ts,3544,569,32
packages/react-client/src/ReactFlightClient.js,3520,1560,76
packages/react-dom/src/__tests__/ReactDOMFragmentRefs-test.js,3481,645,21
yarn.lock,3315,2308,41
packages/react-dom/src/__tests__/ReactDOMServerPartialHydrationActivity-test.internal.js,3019,40,4
packages/react-dom/src/__tests__/ReactDOMFizzServer-test.js,2962,2021,36
packages/react-reconciler/src/ReactFiberCommitWork.js,2815,1497,58
flow-typed/environments/bom.js,2729,10,3
compiler/packages/snap/src/minimize.ts,2206,64,4
fixtures/dom/yarn.lock,2104,1516,1
packages/react-server/src/ReactFizzServer.js,2054,935,70
packages/react-devtools-shared/src/__tests__/store-test.js,2039,470,30
packages/react-reconciler/src/ReactFiberWorkLoop.js,1962,811,70
packages/react-reconciler/src/ReactFiberPerformanceTrack.js,1895,740,28
flow-typed/environments/html.js,1712,2,2
packages/react-reconciler/src/ReactFiberApplyGesture.js,1622,287,19
packages/react-dom/src/__tests__/ReactDOMServerSelectiveHydrationActivity-test.internal.js,1616,21,3
packages/react-server-dom-webpack/src/__tests__/ReactFlightDOMNode-test.js,1590,196,21
compiler/packages/babel-plugin-react-compiler/src/Validation/ValidateExhaustiveDependencies.ts,1569,450,18
fixtures/flight-ssr-bench/yarn.lock,1463,0,1
packages/eslint-plugin-react-hooks/src/code-path-analysis/code-path-state.js,1441,0,1
fixtures/eslint-v9/yarn.lock,1422,522,9
compiler/apps/playground/yarn.lock,1419,626,12
packages/react-server/src/ReactFlightReplyServer.js,1388,563,12
packages/react-dom/src/__tests__/ReactDOMFloat-test.js,1380,501,21
compiler/packages/babel-plugin-react-compiler/src/HIR/BuildHIR.ts,1325,1116,38
packages/react-dom/src/__tests__/ReactDOMComponent-test.js,1296,1258,3
packages/react-dom-bindings/src/server/ReactFizzConfigDOM.js,1242,364,25
packages/react-server-dom-webpack/src/__tests__/ReactFlightDOMEdge-test.js,1241,143,28
packages/react-client/src/__tests__/ReactFlight-test.js,1215,800,39
packages/react-devtools-shared/src/devtools/store.js,1208,263,35
packages/react-reconciler/src/ReactFiberCommitViewTransitions.js,1197,240,16
fixtures/eslint-v6/yarn.lock,1196,331,4
compiler/packages/babel-plugin-react-compiler/src/CompilerError.ts,1190,378,28
fixtures/flight/src/LargeContent.js,1115,2,2
fixtures/eslint-v7/yarn.lock,1110,341,4
compiler/packages/babel-plugin-react-compiler/src/Flood/Types.ts,1081,87,4
compiler/packages/babel-plugin-react-compiler/src/Inference/InferMutationAliasingRanges.ts,1035,192,15
fixtures/eslint-v8/yarn.lock,1030,354,4
scripts/tasks/generate-changelog.js,1029,1029,3
packages/react-dom/src/__tests__/ReactDOMFizzSuspenseList-test.js,1012,23,7
compiler/packages/babel-plugin-react-compiler/src/Validation/ValidateNoDerivedComputationsInEffects_exp.ts,990,148,12
packages/react-devtools-shared/src/devtools/views/SuspenseTab/SuspenseTab.js,945,297,26
packages/react-reconciler/src/ReactFiberHooks.js,937,1166,30
packages/eslint-plugin-react-hooks/__tests__/ESLintRulesOfHooks-test.js,935,229,12
compiler/packages/babel-plugin-react-compiler/src/HIR/ObjectShape.ts,920,97,20
packages/react-reconciler/src/ReactFiberBeginWork.js,919,498,47
compiler/packages/babel-plugin-react-compiler/src/Entrypoint/Program.ts,918,761,29
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/error.todo-missing-source-locations.expect.md,901,545,5
packages/react-client/src/ReactFlightPerformanceTrack.js,855,369,16
compiler/packages/react-mcp-server/src/index.ts,819,322,17
packages/react-reconciler/src/__tests__/ReactSuspenseList-test.js,818,206,7
