entity,author,author-revs,total-revs
"""compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/functionexpr\342\200\223conditional-access.expect.md""",Joseph Savona,1,1
"""compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/functionexpr\342\200\223conditional-access.js""",Joseph Savona,1,1
.claude/instructions.md,Rick Hanlon,1,1
.claude/settings.json,Rick Hanlon,1,1
.claude/skills/extract-errors/SKILL.md,Rick Hanlon,1,1
.claude/skills/feature-flags/SKILL.md,Rick Hanlon,1,1
.claude/skills/fix/SKILL.md,Rick Hanlon,1,1
.claude/skills/flags/SKILL.md,Rick Hanlon,1,1
.claude/skills/flow/SKILL.md,Rick Hanlon,1,1
.claude/skills/test/SKILL.md,Rick Hanlon,1,1
.claude/skills/verify/SKILL.md,Rick Hanlon,1,1
.codesandbox/ci.json,Smruti Ranjan Badatya,1,2
.codesandbox/ci.json,Hendrik Liebau,1,2
.eslintignore,Jan Kassens,1,1
.eslintrc.js,"Sebastian ""Sebbie"" Silbermann",10,31
.eslintrc.js,Sebastian Markbåge,8,31
.eslintrc.js,Jan Kassens,5,31
.eslintrc.js,Ruslan Lesiutin,3,31
.eslintrc.js,Rick Hanlon,1,31
.eslintrc.js,Rubén Norte,1,31
.eslintrc.js,Xinzi Zhou,1,31
.eslintrc.js,Jorge Cabiedes,1,31
.eslintrc.js,michael faith,1,31
.github/ISSUE_TEMPLATE/19.md,Jack Pope,1,1
.github/ISSUE_TEMPLATE/compiler_bug_report.yml,Alexander Kachkaev,1,1
.github/workflows/compiler_discord_notify.yml,lauren,17,19
.github/workflows/compiler_discord_notify.yml,Hendrik Liebau,1,19
.github/workflows/compiler_discord_notify.yml,Rick Hanlon,1,19
.github/workflows/compiler_playground.yml,lauren,10,10
.github/workflows/compiler_prereleases.yml,lauren,10,10
.github/workflows/compiler_prereleases_manual.yml,lauren,4,4
.github/workflows/compiler_prereleases_nightly.yml,lauren,2,2
.github/workflows/compiler_prereleases_weekly.yml,lauren,2,2
.github/workflows/compiler_rust.yml,Joe Savona,1,1
.github/workflows/compiler_typescript.yml,lauren,9,9
.github/workflows/devtools_discord_notify.yml,Rick Hanlon,1,1
.github/workflows/devtools_regression_tests.yml,lauren,9,11
.github/workflows/devtools_regression_tests.yml,"Sebastian ""Sebbie"" Silbermann",2,11
.github/workflows/discord_notify.yml,Rick Hanlon,2,2
